mz,RT,intensity,intensity_cor,species
1193.3,29.85,13616,13616,0
1161.3,6.46,13577,13577,0
889.5,15.12,13560,13560,0
507.3,19.4,13551,13551,0
507.4,18.6,13505,13505,0
611.5,19.73,13462,13462,0
1323.8,19.75,13385,13385,0
1204.8,19.76,13360,13360,0
505.7,6.83,13327,13327,0
1474.8,11.78,13158,13158,0
1348.8,19.88,13127,13127,0
402,9.48,13052,13052,0
1362.8,20.2,13028,13028,0
587.4,19.53,12982,12982,0
439.3,15.13,12968,12968,0
968.9,4.4,12956,12956,0
508.2,18.72,12937,12937,0
1125.8,19.49,12916,12916,0
466.8,10.61,12857,12857,0
1352.8,20.42,12783,12783,0
713.4,13.57,12781,12781,0
1325.7,6.02,12666,12666,0
1074.5,17.9,12508,12508,0
942.6,19.04,12502,12502,0
204.4,7.14,12490,12490,0
464.8,11.65,12476,12476,0
1128.7,9.41,12445,12445,0
1248.8,19.68,12431,12431,0
1332.8,19.49,12390,12390,0
945.7,9.73,12368,12368,0
495.1,6.53,12356,12356,0
1137.7,19.55,12253,12253,0
859,3.75,12219,12219,0
714.1,12.29,12187,12187,0
450.8,10.8,12052,12052,0
1250.1,10.89,12014,12014,0
464.9,11.61,11977,11977,0
933.5,8.93,11915,11915,0
724,8.05,11887,11887,0
249.1,6.56,11880,11880,0
1336.7,20.46,11827,11827,0
249.1,6.98,11756,11756,0
772.7,4.82,11697,11697,0
1331.3,5.05,11678,11678,0
859.5,14.31,11672,11672,0
1309,19.55,11630,11630,0
826.5,13.55,11567,11567,0
1227.3,7.39,11563,11563,0
844.5,14.76,11498,11498,0
249.1,8.75,11495,11495,0
728.5,12.05,11443,11443,0
934.7,19.41,11341,11341,0
745.3,12.72,11253,11253,0
427.3,7.63,11202,11202,0
430.3,14.2,11193,11193,0
401.4,9.78,11131,11131,0
408.3,19.69,11042,11042,0
728.4,29.95,11040,11040,0
326.2,11.94,11038,11038,0
515.5,11.4,11038,11038,0
1126.2,5.75,10995,10995,0
703,3.68,10990,10990,0
643,29.64,10979,10979,0
1249.7,19.68,10960,10960,0
709.3,6.34,10908,10908,0
440.4,13.57,10895,10895,0
1290.3,16.02,10877,10877,0
265.6,5.83,10839,10839,0
1011.8,12.91,10806,10806,0
716.2,9.87,10773,10773,0
1318.8,17.97,10657,10657,0
645.2,9.38,10653,10653,0
394.3,19.38,10643,10643,0
471.4,12.66,10607,10607,0
431.5,8.43,10603,10603,0
724.8,21.5,10594,10594,0
1328.8,19.9,10576,10576,0
650.8,19.89,10571,10571,0
905,13.08,10542,10542,0
239.5,9.72,10481,10481,0
203.7,9.04,10476,10476,0
1304.8,19.86,10457,10457,0
1104.8,19.49,10443,10443,0
1331.7,19.4,10403,10403,0
599.5,19.68,10396,10396,0
645.7,19.82,10377,10377,0
535.5,19.88,10369,10369,0
808.5,8.27,10286,10286,0
1248.6,8.87,10264,10264,0
501.5,29.56,10237,10237,0
610.2,25.65,10226,10226,0
1316.4,9.77,10211,10211,0
888.7,21.05,10203,10203,0
575.5,19.48,10171,10171,0
616.6,19.63,10146,10146,0
1312.7,19.83,10111,10111,0
1063.7,15.53,10108,10108,0
608.3,19.6,10058,10058,0
948.5,19.7,10056,10056,0
651.5,19.85,10036,10036,0
600.5,11.93,10035,10035,0
464.8,10.76,10033,10033,0
841.3,8.25,10019,10019,0
515.5,11.76,10010,10010,0
1300.8,19.84,144150,144150,0
843.5,13.39,141830,141830,0
1314.8,20.1,111237,111237,0
1301.7,19.84,104006,104006,0
1315.7,20.12,86851,86851,0
1346.8,19.83,86839,86839,0
1345.8,19.84,71617,71617,0
844.5,13.43,70947,70947,0
841.5,13.54,65702,65702,0
954.6,15.18,65453,65453,0
1359.8,20.08,61037,61037,0
956.7,15.01,60085,60085,0
1360.8,20.14,57468,57468,0
1328.8,20.34,56523,56523,0
857.5,14.14,54576,54576,0
204.3,8.92,52584,52584,0
1292.6,8.9,52073,52073,0
1302.8,19.83,49080,49080,0
1316.7,20.1,46288,46288,0
1336.7,20.1,44639,44639,0
1322.7,19.86,43860,43860,0
1329.8,20.36,43245,43245,0
1046.1,4.75,41508,41508,0
955.5,15.18,39797,39797,0
730.5,11.82,39484,39484,0
842.5,13.57,39432,39432,0
989,3.82,34968,34968,0
744.5,12.47,33373,33373,0
1323.7,19.82,32445,32445,0
458.1,10.86,31758,31758,0
1347.8,19.82,31489,31489,0
957.7,15.05,30954,30954,0
519.1,5.75,30943,30943,0
947.5,19.65,30736,30736,0
1337.7,20.13,29552,29552,0
1373.8,20.38,28591,28591,0
552.4,13.42,28513,28513,0
958.4,17.56,27657,27657,0
1396.8,14.55,27018,27018,0
1176.6,29.22,26466,26466,0
858.5,14.13,26364,26364,0
1374.8,20.37,24776,24776,0
857.8,9.68,24334,24334,0
1327.5,18.84,23603,23603,0
439.3,13.41,23559,23559,0
745.5,12.47,23127,23127,0
626.3,3.56,23031,23031,0
1361.8,20.11,22330,22330,0
956.6,15.28,22246,22246,0
1330.7,20.37,22098,22098,0
1178.8,3.33,22088,22088,0
879.3,3.73,22083,22083,0
1198.4,29.77,22065,22065,0
916.5,10.75,21876,21876,0
730.5,12.11,21710,21710,0
797.7,21.7,21061,21061,0
326.3,13.4,20319,20319,0
731.7,21.8,19147,19147,0
845.5,13.4,19057,19057,0
475.8,3.83,18533,18533,0
878.1,16.18,18510,18510,0
457.8,11,18409,18409,0
731.5,11.79,17839,17839,0
1350.8,20.37,17758,17758,0
334.2,12.55,17567,17567,0
1324.6,19.83,17269,17269,0
1265.1,15.73,17222,17222,0
597.5,19.42,17049,17049,0
439.4,13.35,16286,16286,0
1269.3,29.95,15976,15976,0
834.5,19.17,15802,15802,0
1426.1,4.3,15161,15161,0
721.5,3.32,15022,15022,0
266.3,3.86,15000,15000,0
1348.5,19.03,14998,14998,0
1279.8,13.42,14967,14967,0
1111.4,5.03,14703,14703,0
939.7,9.69,14665,14665,0
942.5,14.08,14517,14517,0
853,9.78,14410,14410,0
854.2,3.81,14336,14336,0
1303.8,19.84,14206,14206,0
462.8,7.07,14101,14101,0
376,13.47,14021,14021,0
1173.3,15.89,13959,13959,0
767.3,8.45,13760,13760,0
933.5,19.37,13692,13692,0
1338.8,20.08,13673,13673,0
848.7,5,13659,13659,0
741.3,10.76,13587,13587,0
265.2,7.44,13518,13518,0
655.3,6.4,13489,13489,0
712.3,6.6,13477,13477,0
1165.8,14.84,13424,13424,0
855,9.97,13351,13351,0
972.5,13.5,13341,13341,0
721.1,17.02,13278,13278,0
839.5,9.42,13239,13239,0
1460.4,16.24,13076,13076,0
781.5,6.01,12971,12971,0
513.5,12.35,12796,12796,0
846.5,29.46,12747,12747,0
297.2,6.47,12688,12688,0
754.2,21.78,12586,12586,0
556.3,6.66,12585,12585,0
1287.2,14.64,12584,12584,0
687.9,21.9,12490,12490,0
273,12.38,12484,12484,0
1317.8,20.13,12482,12482,0
1403.2,6.14,12472,12472,0
948.7,19.67,12427,12427,0
597.2,4.23,12353,12353,0
952.7,13.08,12179,12179,0
1352.2,7.54,12103,12103,0
888.5,21.06,12025,12025,0
948.5,19.68,11902,11902,0
728.5,11.84,11895,11895,0
239.9,8.35,11864,11864,0
826.5,21.97,11789,11789,0
